[0]=K0; [1]=0; [2]=0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K1; [1]=K0; [2]=0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K2; [1]=K1; [2]=K0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K3; [1]=K2; [2]=K1; [3]=K0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K4; [1]=K3; [2]=K2; [3]=K1; [4]=K0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K5; [1]=K4; [2]=K3; [3]=K2; [4]=K1; [5]=K0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K6; [1]=K5; [2]=K4; [3]=K3; [4]=K2; [5]=K1; [6]=K0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K7; [1]=K6; [2]=K5; [3]=K4; [4]=K3; [5]=K2; [6]=K1; [7]=K0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K8; [1]=K7; [2]=K6; [3]=K5; [4]=K4; [5]=K3; [6]=K2; [7]=K1; [8]=K0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K9; [1]=K8; [2]=K7; [3]=K6; [4]=K5; [5]=K4; [6]=K3; [7]=K2; [8]=K1; [9]=K0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K10; [1]=K9; [2]=K8; [3]=K7; [4]=K6; [5]=K5; [6]=K4; [7]=K3; [8]=K2; [9]=K1; [10]=K0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K11; [1]=K10; [2]=K9; [3]=K8; [4]=K7; [5]=K6; [6]=K5; [7]=K4; [8]=K3; [9]=K2; [10]=K1; [11]=K0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K12; [1]=K11; [2]=K10; [3]=K9; [4]=K8; [5]=K7; [6]=K6; [7]=K5; [8]=K4; [9]=K3; [10]=K2; [11]=K1; [12]=K0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K13; [1]=K12; [2]=K11; [3]=K10; [4]=K9; [5]=K8; [6]=K7; [7]=K6; [8]=K5; [9]=K4; [10]=K3; [11]=K2; [12]=K1; [13]=K0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K14; [1]=K13; [2]=K12; [3]=K11; [4]=K10; [5]=K9; [6]=K8; [7]=K7; [8]=K6; [9]=K5; [10]=K4; [11]=K3; [12]=K2; [13]=K1; [14]=K0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K15; [1]=K14; [2]=K13; [3]=K12; [4]=K11; [5]=K10; [6]=K9; [7]=K8; [8]=K7; [9]=K6; [10]=K5; [11]=K4; [12]=K3; [13]=K2; [14]=K1; [15]=K0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K16; [1]=K15; [2]=K14; [3]=K13; [4]=K12; [5]=K11; [6]=K10; [7]=K9; [8]=K8; [9]=K7; [10]=K6; [11]=K5; [12]=K4; [13]=K3; [14]=K2; [15]=K1; [16]=K0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K17; [1]=K16; [2]=K15; [3]=K14; [4]=K13; [5]=K12; [6]=K11; [7]=K10; [8]=K9; [9]=K8; [10]=K7; [11]=K6; [12]=K5; [13]=K4; [14]=K3; [15]=K2; [16]=K1; [17]=K0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K18; [1]=K17; [2]=K16; [3]=K15; [4]=K14; [5]=K13; [6]=K12; [7]=K11; [8]=K10; [9]=K9; [10]=K8; [11]=K7; [12]=K6; [13]=K5; [14]=K4; [15]=K3; [16]=K2; [17]=K1; [18]=K0; [19]=0; [20]=0; [21]=0
[0]=K19; [1]=K18; [2]=K17; [3]=K16; [4]=K15; [5]=K14; [6]=K13; [7]=K12; [8]=K11; [9]=K10; [10]=K9; [11]=K8; [12]=K7; [13]=K6; [14]=K5; [15]=K4; [16]=K3; [17]=K2; [18]=K1; [19]=K0; [20]=0; [21]=0
[0]=K20; [1]=K19; [2]=K18; [3]=K17; [4]=K16; [5]=K15; [6]=K14; [7]=K13; [8]=K12; [9]=K11; [10]=K10; [11]=K9; [12]=K8; [13]=K7; [14]=K6; [15]=K5; [16]=K4; [17]=K3; [18]=K2; [19]=K1; [20]=K0; [21]=0
[0]=K0 ⊕ K21; [1]=K20; [2]=K19; [3]=K18; [4]=K17; [5]=K16; [6]=K15; [7]=K14; [8]=K13; [9]=K12; [10]=K11; [11]=K10; [12]=K9; [13]=K8; [14]=K7; [15]=K6; [16]=K5; [17]=K4; [18]=K3; [19]=K2; [20]=K1; [21]=K0
[0]=K0 ⊕ K1 ⊕ K22; [1]=K0 ⊕ K21; [2]=K20; [3]=K19; [4]=K18; [5]=K17; [6]=K16; [7]=K15; [8]=K14; [9]=K13; [10]=K12; [11]=K11; [12]=K10; [13]=K9; [14]=K8; [15]=K7; [16]=K6; [17]=K5; [18]=K4; [19]=K3; [20]=K2; [21]=K1
[0]=K1 ⊕ K2 ⊕ K23; [1]=K0 ⊕ K1 ⊕ K22; [2]=K0 ⊕ K21; [3]=K20; [4]=K19; [5]=K18; [6]=K17; [7]=K16; [8]=K15; [9]=K14; [10]=K13; [11]=K12; [12]=K11; [13]=K10; [14]=K9; [15]=K8; [16]=K7; [17]=K6; [18]=K5; [19]=K4; [20]=K3; [21]=K2
[0]=K2 ⊕ K3 ⊕ K24; [1]=K1 ⊕ K2 ⊕ K23; [2]=K0 ⊕ K1 ⊕ K22; [3]=K0 ⊕ K21; [4]=K20; [5]=K19; [6]=K18; [7]=K17; [8]=K16; [9]=K15; [10]=K14; [11]=K13; [12]=K12; [13]=K11; [14]=K10; [15]=K9; [16]=K8; [17]=K7; [18]=K6; [19]=K5; [20]=K4; [21]=K3
[0]=K3 ⊕ K4 ⊕ K25; [1]=K2 ⊕ K3 ⊕ K24; [2]=K1 ⊕ K2 ⊕ K23; [3]=K0 ⊕ K1 ⊕ K22; [4]=K0 ⊕ K21; [5]=K20; [6]=K19; [7]=K18; [8]=K17; [9]=K16; [10]=K15; [11]=K14; [12]=K13; [13]=K12; [14]=K11; [15]=K10; [16]=K9; [17]=K8; [18]=K7; [19]=K6; [20]=K5; [21]=K4
[0]=K4 ⊕ K5 ⊕ K26; [1]=K3 ⊕ K4 ⊕ K25; [2]=K2 ⊕ K3 ⊕ K24; [3]=K1 ⊕ K2 ⊕ K23; [4]=K0 ⊕ K1 ⊕ K22; [5]=K0 ⊕ K21; [6]=K20; [7]=K19; [8]=K18; [9]=K17; [10]=K16; [11]=K15; [12]=K14; [13]=K13; [14]=K12; [15]=K11; [16]=K10; [17]=K9; [18]=K8; [19]=K7; [20]=K6; [21]=K5
[0]=K5 ⊕ K6 ⊕ K27; [1]=K4 ⊕ K5 ⊕ K26; [2]=K3 ⊕ K4 ⊕ K25; [3]=K2 ⊕ K3 ⊕ K24; [4]=K1 ⊕ K2 ⊕ K23; [5]=K0 ⊕ K1 ⊕ K22; [6]=K0 ⊕ K21; [7]=K20; [8]=K19; [9]=K18; [10]=K17; [11]=K16; [12]=K15; [13]=K14; [14]=K13; [15]=K12; [16]=K11; [17]=K10; [18]=K9; [19]=K8; [20]=K7; [21]=K6
[0]=K6 ⊕ K7 ⊕ K28; [1]=K5 ⊕ K6 ⊕ K27; [2]=K4 ⊕ K5 ⊕ K26; [3]=K3 ⊕ K4 ⊕ K25; [4]=K2 ⊕ K3 ⊕ K24; [5]=K1 ⊕ K2 ⊕ K23; [6]=K0 ⊕ K1 ⊕ K22; [7]=K0 ⊕ K21; [8]=K20; [9]=K19; [10]=K18; [11]=K17; [12]=K16; [13]=K15; [14]=K14; [15]=K13; [16]=K12; [17]=K11; [18]=K10; [19]=K9; [20]=K8; [21]=K7
[0]=K7 ⊕ K8 ⊕ K29; [1]=K6 ⊕ K7 ⊕ K28; [2]=K5 ⊕ K6 ⊕ K27; [3]=K4 ⊕ K5 ⊕ K26; [4]=K3 ⊕ K4 ⊕ K25; [5]=K2 ⊕ K3 ⊕ K24; [6]=K1 ⊕ K2 ⊕ K23; [7]=K0 ⊕ K1 ⊕ K22; [8]=K0 ⊕ K21; [9]=K20; [10]=K19; [11]=K18; [12]=K17; [13]=K16; [14]=K15; [15]=K14; [16]=K13; [17]=K12; [18]=K11; [19]=K10; [20]=K9; [21]=K8
[0]=K8 ⊕ K9 ⊕ K30; [1]=K7 ⊕ K8 ⊕ K29; [2]=K6 ⊕ K7 ⊕ K28; [3]=K5 ⊕ K6 ⊕ K27; [4]=K4 ⊕ K5 ⊕ K26; [5]=K3 ⊕ K4 ⊕ K25; [6]=K2 ⊕ K3 ⊕ K24; [7]=K1 ⊕ K2 ⊕ K23; [8]=K0 ⊕ K1 ⊕ K22; [9]=K0 ⊕ K21; [10]=K20; [11]=K19; [12]=K18; [13]=K17; [14]=K16; [15]=K15; [16]=K14; [17]=K13; [18]=K12; [19]=K11; [20]=K10; [21]=K9
[0]=K9 ⊕ K10 ⊕ K31; [1]=K8 ⊕ K9 ⊕ K30; [2]=K7 ⊕ K8 ⊕ K29; [3]=K6 ⊕ K7 ⊕ K28; [4]=K5 ⊕ K6 ⊕ K27; [5]=K4 ⊕ K5 ⊕ K26; [6]=K3 ⊕ K4 ⊕ K25; [7]=K2 ⊕ K3 ⊕ K24; [8]=K1 ⊕ K2 ⊕ K23; [9]=K0 ⊕ K1 ⊕ K22; [10]=K0 ⊕ K21; [11]=K20; [12]=K19; [13]=K18; [14]=K17; [15]=K16; [16]=K15; [17]=K14; [18]=K13; [19]=K12; [20]=K11; [21]=K10
[0]=K10 ⊕ K11 ⊕ K32; [1]=K9 ⊕ K10 ⊕ K31; [2]=K8 ⊕ K9 ⊕ K30; [3]=K7 ⊕ K8 ⊕ K29; [4]=K6 ⊕ K7 ⊕ K28; [5]=K5 ⊕ K6 ⊕ K27; [6]=K4 ⊕ K5 ⊕ K26; [7]=K3 ⊕ K4 ⊕ K25; [8]=K2 ⊕ K3 ⊕ K24; [9]=K1 ⊕ K2 ⊕ K23; [10]=K0 ⊕ K1 ⊕ K22; [11]=K0 ⊕ K21; [12]=K20; [13]=K19; [14]=K18; [15]=K17; [16]=K16; [17]=K15; [18]=K14; [19]=K13; [20]=K12; [21]=K11
[0]=K11 ⊕ K12 ⊕ K33; [1]=K10 ⊕ K11 ⊕ K32; [2]=K9 ⊕ K10 ⊕ K31; [3]=K8 ⊕ K9 ⊕ K30; [4]=K7 ⊕ K8 ⊕ K29; [5]=K6 ⊕ K7 ⊕ K28; [6]=K5 ⊕ K6 ⊕ K27; [7]=K4 ⊕ K5 ⊕ K26; [8]=K3 ⊕ K4 ⊕ K25; [9]=K2 ⊕ K3 ⊕ K24; [10]=K1 ⊕ K2 ⊕ K23; [11]=K0 ⊕ K1 ⊕ K22; [12]=K0 ⊕ K21; [13]=K20; [14]=K19; [15]=K18; [16]=K17; [17]=K16; [18]=K15; [19]=K14; [20]=K13; [21]=K12
